new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.5017,0.4983,0.4983,0.5958,0.5235
14yr,0.4983,0.5889,0.6341,0.5784,0.5749
13yr,0.6202,0.5819,0.6167,0.5157,0.5836
12yr,0.6063,0.6341,0.6028,0.5331,0.5941
11yr,0.6411,0.6341,0.6307,0.5958,0.6254
10yr,0.6446,0.6794,0.7003,0.6341,0.6646
9yr,0.6760,0.6655,0.6620,0.5993,0.6507
8yr,0.6864,0.6934,0.6829,0.6132,0.6690
7yr,0.6899,0.6864,0.6969,0.6376,0.6777
6yr,0.7038,0.6934,0.7143,0.6620,0.6934
5yr,0.6969,0.6934,0.7003,0.6272,0.6794
4yr,0.6690,0.6655,0.6551,0.6551,0.6611
3yr,0.6307,0.6237,0.6516,0.6202,0.6315
2yr,0.6481,0.6446,0.6620,0.5993,0.6385
1yr,0.5714,0.5714,0.5749,0.5540,0.5679
avg,0.6323,0.6369,0.6455,0.6014,0.6290
