split,method,sampling,tune_val_auc,tune_best_params
split_1+15,Old,none,0.574157,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 1000, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}"
split_1+15,Old,undersampling,0.574864,"{""colsample_bytree"": 0.85, ""gamma"": 0.2, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_1+15,Old,oversampling,0.569499,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 0.85}"
split_1+15,Old,hybrid,0.574984,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 20, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
split_1+15,New,none,0.856134,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 1000, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.85}"
split_1+15,New,undersampling,0.859960,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 1.0}"
split_1+15,New,oversampling,0.812040,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 1000, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_1+15,New,hybrid,0.816006,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_1+15,Retrain,none,0.844455,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
split_1+15,Retrain,undersampling,0.844265,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 1.0}"
split_1+15,Retrain,oversampling,0.793301,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 1000, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}"
split_1+15,Retrain,hybrid,0.806740,"{""colsample_bytree"": 0.85, ""gamma"": 0.2, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 1000, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 0.85}"
split_1+15,Finetune,none,0.567591,"{""colsample_bytree"": 0.85, ""gamma"": 0.2, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.7}"
split_1+15,Finetune,undersampling,0.582711,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 1000, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
split_1+15,Finetune,oversampling,0.556381,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
split_1+15,Finetune,hybrid,0.583671,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 20, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
split_2+14,Old,none,0.662724,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_2+14,Old,undersampling,0.658390,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_2+14,Old,oversampling,0.635848,"{""colsample_bytree"": 0.85, ""gamma"": 0.2, ""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}"
split_2+14,Old,hybrid,0.656211,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 1000, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}"
split_2+14,New,none,0.868318,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
split_2+14,New,undersampling,0.859876,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
split_2+14,New,oversampling,0.810146,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 1000, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.85}"
split_2+14,New,hybrid,0.828737,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 1000, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_2+14,Finetune,none,0.656508,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_2+14,Finetune,undersampling,0.653288,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 3, ""n_estimators"": 1000, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_2+14,Finetune,oversampling,0.639183,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 1000, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 1.0}"
split_2+14,Finetune,hybrid,0.652311,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
split_3+13,Old,none,0.743724,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.85}"
